job_num,method,simulation_id,estimate,SE,p_value,ndf,ddf,n_obs,dgp,b_xy,b_cy,b_cx,r_cc
1,no_covs,48,0.16255337709332707,0.10098432904154593,0.11068239231861497,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,49,0.2708919622634275,0.10341193192765676,0.010204415948535994,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,50,0.04240526443112716,0.10790971114241818,0.6951952550126294,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,51,0.17244843196274962,0.10407454233740104,0.10072370679805184,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,52,0.2022194398626953,0.09266629461795166,0.03148203037265948,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,53,0.1112384417702066,0.10497273617702431,0.2918909719781854,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,54,0.12945513160040903,0.11502454419053502,0.26314435743278947,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,55,0.38259026454006345,0.11228052040508234,9.525940906862279e-4,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,56,0.24776923303902668,0.08413531970975274,0.00403522478138693,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,57,0.330362455789635,0.09341245778642529,6.209538469953755e-4,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,58,0.18025928232625646,0.10123152707494762,0.07806613430333438,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,59,0.13743719342608623,0.10236267899352183,0.1824872512033783,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,60,0.24431876784491185,0.09951601959096434,0.015847990134995046,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,61,0.24452871887437283,0.10098356079249365,0.017297205132339063,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,62,0.17683858037528008,0.08358464023570844,0.036906741422405374,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,63,0.3250419775273543,0.09359574366488127,7.680644710885702e-4,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,64,0.19323828270490503,0.10123218658442984,0.059205656749098244,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,65,0.1533731512173641,0.09552761289722754,0.11159332600060237,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,66,0.0892196492688487,0.09874441914719606,0.36845439562099225,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,67,0.3567622169521038,0.09483201327772318,2.8700997253883545e-4,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,68,0.08339430677803004,0.12048203136982404,0.4904660133194767,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,69,0.031784777808611615,0.09335344671140038,0.7342254959804662,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,70,0.19394633962617888,0.09995034226934142,0.05520171986765942,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,71,0.04614965207794356,0.09096495406213624,0.6130599966594596,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,72,0.27086825352869076,0.11341049669815768,0.01883827217889368,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,73,0.138412100089804,0.11085310429457963,0.21478298742989693,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,74,0.2263785449429848,0.09047779356701377,0.014004049594848194,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,75,0.21187046812842858,0.09901129619558821,0.03484889268393284,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,76,0.3696508510511208,0.10143455153477608,4.3124654334656076e-4,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,77,0.09290296531729726,0.09219273965999125,0.3160783723337189,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,78,0.19744054424487228,0.09431189971672882,0.038887669848036016,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,79,0.3647402296239362,0.12299122384646928,0.0037945341455872376,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,80,0.24879757134034117,0.09560675935163156,0.010696200644702324,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,81,0.16211280359821914,0.0834652218154997,0.05497400444745418,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,82,0.205021846651283,0.10748647782301753,0.05939429588333277,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,83,0.23012246941630868,0.08377800126154945,0.007162045311513186,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,84,-0.009122589588041108,0.11053720522040186,0.9343939265695695,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,85,0.16749231277866716,0.10971560501711991,0.13008051945542404,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,86,0.08875103735948492,0.08296184207997401,0.28734552200197977,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,87,0.044968419384871845,0.1046864317985117,0.6684634539857005,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,88,0.23232239810907132,0.08370538261853498,0.006602640358672292,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,89,0.2553207942230763,0.09690502405956938,0.009787636924522024,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,90,0.19814724175156742,0.09944461804496255,0.04909338974783991,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
